Fecha,Total_Raw,Total_Consistent,Via_Aerea,Via_Terrestre,Via_Maritima,Pais_El Salvador,Pais_Guatemala,Pais_Estados Unidos de América
2011-05-01,156728.34999999995,145923.54778125993,68133.0,80830.34999999996,7765.0,38184.29999999997,51676.0,21458.0
2011-06-01,170083.35714285713,163014.46872590488,82437.0,85376.35714285713,2270.0,37303.76000000002,58255.99999999996,33120.357142857145
2011-07-01,204325.66331283798,200521.00470178173,97679.0,105386.66331283798,1260.0,42756.0,68504.00000000003,37982.42386636895
2011-08-01,187854.6781400468,174775.49370458006,77477.0,98679.6781400468,11698.0,47596.97038461547,58710.970149253735,23596.891891891893
2011-09-01,144432.6912044162,141183.83971974195,65329.0,78462.69120441619,641.0,35202.09,54664.79508196722,14379.80612244898
2011-10-01,159566.86878067983,152049.08059590787,71644.0,83193.86878067983,4729.0,42912.84000000006,55803.928286852606,17760.5
2011-11-01,196650.4950404817,187320.0779012438,86040.0,104176.49504048169,6434.0,52401.620000000046,69201.75862068967,20867.28947368421
2011-12-01,257540.5152835257,243735.11067073603,101211.0,146377.5152835257,9952.0,69834.51000000007,92903.00000000003,29861.48449612403
2012-01-01,210834.305882353,177125.95776830107,81067.0,122517.305882353,7250.0,57181.01,66841.00000000004,23657.45588235294
2012-02-01,169001.26952380955,147819.44219831316,70168.0,92607.26952380955,6226.0,46179.31000000001,45264.00000000001,23751.214285714286
2012-03-01,196093.11365490346,186237.2082521481,84564.0,106344.11365490344,5185.0,51118.41900158478,56350.00000000001,32299.60061732894
2012-04-01,193661.7499999999,182891.2362626656,75122.0,110443.74999999993,8096.0,50197.77999999995,63209.99999999999,22151.0
2012-05-01,164972.46000000002,152137.5120438028,71959.0,83234.46,9779.0,39422.460000000014,51437.0,22189.5
2012-06-01,179413.4692857143,173240.56422688227,87824.0,90624.46928571428,965.0,40568.510000000024,60287.99999999997,36842.58928571429
2012-07-01,203982.72000106898,199340.37067282858,96204.0,105841.72000106898,1937.0,44613.73999999998,64281.99999999999,38390.05307454483
2012-08-01,188092.5113766111,170666.4032403826,72237.0,100145.51137661112,15710.0,49534.899999999965,53029.96019900497,24028.391891891893
2012-09-01,151540.5526229508,147847.52798648953,65651.0,85070.55262295081,819.0,39433.179999999986,54110.69262295083,15487.0
2012-10-01,174443.9581938911,167995.4374967636,75434.0,95986.9581938911,3023.0,45355.40999999998,63018.78486055779,19702.5
2012-11-01,208257.7518037972,195400.06831855708,87872.0,110323.7518037972,10062.0,53340.83000000007,72239.75862068967,23180.342105263157
2012-12-01,259521.71697674415,238839.75250727762,102428.0,140017.71697674415,17076.0,56650.159999999996,93973.99999999997,33566.90697674418
2013-01-01,195440.51999839998,170858.696535424,80051.0,105415.51999839998,9974.0,38650.84000000001,67124.99999839994,23784.0
2013-02-01,156393.08999989997,140163.89946159555,69139.0,79327.08999989995,7927.0,33068.15,45171.999999899956,24170.0
2013-03-01,238388.6366329104,217092.5553629627,90893.0,131636.6366329104,15859.0,53940.459175911245,74787.99998979998,36196.56747404845
2013-04-01,192705.51000000004,179526.03722270243,72202.0,109751.51000000002,10752.0,45047.50000000002,66864.00000000001,22149.0
2013-05-01,188955.55999999997,179243.65691496403,71046.0,112853.55999999997,5056.0,50045.24000000003,67028.99999999996,23118.0
2013-06-01,203522.43999999997,197164.99485562296,89180.0,113399.43999999997,943.0,45116.19000000006,72691.99999999991,39424.0
2013-07-01,216160.6217850375,211596.0172646677,95206.0,118956.62178503753,1998.0,45617.319999999985,72602.00000099998,40343.0
2013-08-01,201934.6200000001,197150.9391696579,77913.0,120963.62000000013,3058.0,55250.42000000007,68391.00000000006,26357.0
2013-09-01,168085.25000280002,163867.0618713466,66627.0,100119.2500028,1339.0,43794.45999999993,66040.00000280008,15413.0
2013-10-01,172476.97999999995,167624.46888297104,79527.0,91059.97999999995,1890.0,39450.98999999996,68788.99999999999,20415.0
2013-11-01,218786.41999999993,202965.0230046185,92515.0,113120.41999999991,13151.0,48110.019999999924,84624.99999999999,23194.0
2013-12-01,279319.32999999996,262449.4019393584,112488.0,153846.32999999996,12985.0,61495.65999999999,114089.99999999996,35277.0
2014-01-01,234446.53999999992,219460.3466763904,90200.0,130524.53999999992,13722.0,53127.53999999997,83994.99999999996,26141.0
2014-02-01,182721.75,173476.24586474686,78209.0,96035.75,8477.0,41977.749999999985,56150.00000000001,25767.0
2014-03-01,215178.73433878162,200137.3302226692,92135.0,110207.73433878162,12836.0,45590.77000000004,67869.0,35051.0
2014-04-01,243823.90000000002,229359.1331489176,89600.0,140647.90000000002,13576.0,61024.90000000005,86743.99999999997,29172.0
2014-05-01,196933.52000000008,190264.56475260793,80383.0,112244.52000000006,4306.0,49255.52000000005,72803.00000000001,24833.0
2014-06-01,202425.34999985993,200093.47330128695,99084.0,102404.34999985993,937.0,42000.34999999995,76799.99999985998,39778.0
2014-07-01,239373.68999999997,237558.594805903,102729.0,135567.68999999997,1077.0,54642.689999999995,83156.99999999999,41389.0
2014-08-01,229607.76999999996,225101.63196751618,86492.0,140100.76999999996,3015.0,63231.770000000004,78633.99999999996,27940.0
2014-09-01,190814.11,187684.7805935593,73602.0,116394.10999999997,818.0,53943.109999999986,72589.99999999999,16441.0
2014-10-01,226630.01000000004,223650.87089512649,86265.0,139647.01000000004,718.0,61061.01000000001,92354.00000000004,21910.0
2014-11-01,262353.2899999996,248017.60998571018,95776.0,153726.28999999957,12851.0,67123.2899999996,100517.0,24207.0
2014-12-01,338293.3,325372.73464960407,117878.0,208891.3,11524.0,86824.29999999996,135911.00000000003,36567.0
2015-01-01,253275.000001625,244120.9512092014,95064.0,151017.000001625,7194.0,55883.00000268093,98082.99999892709,26763.0
2015-02-01,207976.49999823695,197207.24754449067,79878.0,119584.49999823693,8514.0,47280.99999900502,68880.99999916393,27369.5
2015-03-01,265027.28444746643,249587.40803931904,98121.0,154233.2844474664,12673.0,63590.999997249164,86884.00000002403,37096.78445006321
2015-04-01,271468.49999998853,247561.50812161784,87540.0,162185.49999998856,21743.0,67152.99999788038,96791.00000215217,26476.5
2015-05-01,238063.29823437225,226414.60772244775,84334.0,145065.29823437225,8664.0,60865.00000219998,91021.99999955013,26109.79823269514
2015-06-01,252347.99999916193,245382.68691700848,104893.0,145425.99999916193,2029.0,55969.00000093984,102864.99999832007,42019.0
2015-07-01,257181.99999890625,253035.1771321548,106927.0,148253.99999890625,2001.0,58017.99999841815,93995.0000004531,41191.5
2015-08-01,260587.50000028274,245666.15541175148,90600.0,162197.50000028277,7790.0,79655.00000023177,85968.00000001494,28170.5
2015-09-01,209004.49999934426,206700.77080266396,82888.0,125454.49999934428,662.0,55196.00000125024,86392.99999816001,18439.0
2015-10-01,235017.99999686194,227800.2788234454,97243.0,134549.9999968619,3225.0,59381.9999972759,95400.99999949198,24225.0
2015-11-01,252959.50000221597,245184.0101002201,110173.0,136006.50000221597,6780.0,57414.000003299974,102865.99999884499,26978.5
2015-12-01,338732.50000370404,329225.2385317896,129751.0,201180.50000370402,7801.0,86569.00000275004,141033.00000098598,38602.0
2016-01-01,279290.9999999999,262106.6293521066,109052.0,161285.99999999985,8953.0,60358.999999999876,112679.99999999999,29476.0
2016-02-01,234617.99999999988,214638.7297908925,90944.0,131965.99999999988,11708.0,52427.999999999876,84038.99999999999,29292.0
2016-03-01,347084.00000000006,322030.33266050776,117172.0,215678.00000000003,14234.0,102206.00000000012,123424.99999999993,41947.0
2016-04-01,248439.00000000006,211444.92035013388,90938.0,145473.00000000006,12028.0,69140.00000000004,93881.00000000001,26029.0
2016-05-01,257081.0,223932.92774985195,96379.0,151184.0,9518.0,70407.99999999993,103911.00000000006,27826.0
2016-06-01,268068.6562500002,226287.2952819879,113143.0,153559.65625000017,1366.0,69722.00000000019,108895.99999999999,43795.65625
2016-07-01,308371.75939849706,269012.23955853493,130062.0,176601.75939849703,1708.0,76313.00000000067,124427.00000000013,48287.759398496244
2016-08-01,309029.99999999977,258799.9277235241,100986.0,196149.99999999974,11894.000000000002,98514.99999999978,116690.99999999996,28738.0
2016-09-01,215265.39883619457,186819.30831740008,80637.42857142864,133965.97026476593,662.0,58125.85420865276,88791.4878778981,18401.55389975113
2016-10-01,299690.0,249121.26446227162,102214.0,194458.99999999997,3017.0,96001.99999999991,124722.00000000007,23976.0
2016-11-01,325923.0,251531.9805278988,111954.0,197750.0,16219.000000000002,97481.00000000003,131944.99999999997,24653.0
2016-12-01,403355.0218579234,321301.1886656979,111842.0,268530.0218579234,22983.0,136230.99999999988,157646.00000000006,32782.0
2017-01-01,327088.2196146738,259641.60794906897,99217.0,209585.21961467384,18286.0,92801.66437482914,122606.66828087177,26090.228880161605
2017-02-01,276842.8785826486,233718.22885076454,94604.0,169373.87858264858,12864.999999999998,77164.85950996548,98130.78571428571,29573.60850213212
2017-03-01,339725.37321970536,294444.4751136085,106339.0,222174.3732197054,11212.0,107972.60548985947,119552.99999999991,37271.804596466485
2017-04-01,398107.9311828097,377828.7289698364,110230.00000000001,267606.93118280964,20271.000000000004,125586.54517158523,158561.00000000015,31491.81157238148
2017-05-01,280611.37535503623,243741.78519639443,89750.0,184953.37535503626,5908.0,79431.67984374179,119426.99999999999,25736.361520764687
2017-06-01,300218.7854,247853.40796743412,114127.99999999999,184630.7854,1460.0,72268.25700000007,114420.6188,44018.99999999999
2017-07-01,359006.57369999983,291574.27301642345,134449.0,223014.5736999998,1543.0,77043.19889999973,118364.98860000001,49780.51640000001
2017-08-01,400119.0166000009,274293.5932154499,100536.0,299583.0166000009,,102847.1247999999,110072.13840000001,29911.1171
2017-09-01,244041.30469999992,213696.60197929587,91091.0,148682.30469999992,4268.0,64445.82519999995,95650.98719999997,19986.5214
2017-10-01,274807.104421702,239055.67001993404,109105.00000000001,153283.104421702,12419.0,67446.72719999988,106457.77704425532,26330.175400000004
2017-11-01,316608.2421300007,275693.4157893119,121391.99999999999,179948.24213000073,15268.0,80668.71510000064,125104.00278000004,28914.489200000004
2017-12-01,404283.49610000034,356109.4989215251,142949.0,235771.4961000003,25563.0,97424.55980000044,166993.87179999988,42068.00000000001
2018-01-01,356933.8923320003,303819.2179742683,117446.0,209981.89233200034,29506.0,95762.21883200061,123905.7580999997,31991.0006
