Caracteristica,DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr
CO_Embed2_Dist_tau_d_expfit_meandiff,-0.26724890132341667,-0.2829199215952181,0.8902239598441228,0.6935049292632461,0.9184515706973518,0.5676810775505404,-0.42332975722701455,0.6626960878888021,0.6715982903239041,0.8000913306700806,1.0,0.31068659550162614,-0.6126896503078215,0.5716035607486247,-0.7116664164879861,0.8502374186804245,-0.5100570964433064,-0.8326431606996668,0.1137298287046192,0.4610793462525282,-0.6434925020565534,-0.9088354772546171
IN_AutoMutualInfoStats_40_gaussian_fmmi,-0.30938732387968804,-0.13709619449353358,0.13675530325460974,0.8670071810000344,0.1914790566962131,-0.3850004084324236,-0.4129911790364593,0.3394722981435069,0.11307883992840602,0.7214373985478729,0.31068659550162614,1.0,0.06116717171729425,-0.13405478631357784,-0.17705073923209963,0.2392755969973193,-0.2148543957940075,-0.08574089552563077,0.6310492560975087,0.29619443647849397,0.028822085850362753,-0.19706404138409161
FC_LocalSimple_mean1_tauresrat,0.03202401577450539,-0.11885143794717715,-0.7914051042701471,-0.10904941343266461,-0.6270561469990306,-0.40914268279519433,-0.4274777104444413,-0.6451328094131944,-0.5447497430303115,-0.14590202156511342,-0.6126896503078215,0.06116717171729425,1.0,-0.7107912159032758,0.574598796512394,-0.5313325772329692,0.8592553277960691,0.45622427792064096,0.3963938907461197,-0.5783560651941844,0.9980480660669019,0.737506776140249
DN_OutlierInclude_p_001_mdrmd,-0.446418909444402,-0.281086176517311,0.7871462250781497,0.18921268059481788,0.4946758700872302,0.8100473374526944,0.018801111636451356,0.39770488921660746,0.7996133400109982,0.26587483514585075,0.5716035607486247,-0.13405478631357784,-0.7107912159032758,1.0,-0.7086474421572344,0.35888832837280804,-0.2931692829402328,-0.36085092436158156,-0.7105806902620486,-0.0019028769578422558,-0.684761503114601,-0.5753564040759024
DN_OutlierInclude_n_001_mdrmd,0.28105241335404696,0.4192060393936928,-0.910250282840274,-0.4780526750758321,-0.7433621735619619,-0.4829231632421306,0.28588077496512776,-0.8586718307856203,-0.9668626903295593,-0.5145769642632204,-0.7116664164879861,-0.17705073923209963,0.574598796512394,-0.7086474421572344,1.0,-0.8129486100065308,0.28935364827120613,0.7435903074593131,0.31600306007315737,-0.4753150194074302,0.5722409873621712,0.8556570861288683
SP_Summaries_welch_rect_area_5_1,-0.08314103586637621,-0.336843114020984,0.847533577552246,0.5479987960903882,0.934696787092496,0.2942184140225948,-0.36718549343000956,0.8810029658218222,0.6841820172580686,0.610339926465477,0.8502374186804245,0.2392755969973193,-0.5313325772329692,0.35888832837280804,-0.8129486100065308,1.0,-0.467640003186782,-0.9622153684449181,0.1493508188328733,0.7346029253979179,-0.5624916306451712,-0.9562386861611526
SB_BinaryStats_diff_longstretch0,-0.12638185970690533,-0.3063989090320827,-0.5498930542114346,-0.2077373896659565,-0.534908176416848,0.027289055512759987,-0.47506842439792774,-0.6000547392369572,-0.1896427360503473,-0.17750674982530903,-0.5100570964433064,-0.2148543957940075,0.8592553277960691,-0.2931692829402328,0.28935364827120613,-0.467640003186782,1.0,0.34733460345548384,-0.057275106546199245,-0.7629280978551303,0.8798304443118995,0.6126284269542447
SB_MotifThree_quantile_hh,0.18436846512619248,0.48086076583538256,-0.7996653645708575,-0.4588729230150182,-0.9541139158869613,-0.39938684551354803,0.4398816961382349,-0.7453120534725189,-0.6139714272837243,-0.5452903507274807,-0.8326431606996668,-0.08574089552563077,0.45622427792064096,-0.36085092436158156,0.7435903074593131,-0.9622153684449181,0.34733460345548384,1.0,-0.10533901011820863,-0.5920842655748773,0.48649133434960007,0.9072262536493335
SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,0.15693012210145194,0.0831994578338527,-0.26427074979358145,0.4983401853155875,0.07525391054038445,-0.5626729969606761,-0.41431939345394675,-0.0009406695661393627,-0.4347131190704613,0.4477951888315601,0.1137298287046192,0.6310492560975087,0.3963938907461197,-0.7105806902620486,0.31600306007315737,0.1493508188328733,-0.057275106546199245,-0.10533901011820863,1.0,0.27873403123135654,0.34082297515503446,0.03272078575213772
SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,0.29603322295792467,0.14194174153678135,0.5250032538103644,0.2768369568557812,0.6049587309278517,-0.27543898146423745,0.19434294647143088,0.8531645007827577,0.2928209171799827,0.22992492336417128,0.4610793462525282,0.29619443647849397,-0.5783560651941844,-0.0019028769578422558,-0.4753150194074302,0.7346029253979179,-0.7629280978551303,-0.5920842655748773,0.27873403123135654,1.0,-0.6090126790639359,-0.702899065380679
SP_Summaries_welch_rect_centroid,0.02570189983825149,-0.11794156522814095,-0.799209315339691,-0.14479416003399617,-0.6572686459418148,-0.3932582280222897,-0.40096612684462124,-0.6612565682931427,-0.5333221341026856,-0.1825968950861895,-0.6434925020565534,0.028822085850362753,0.9980480660669019,-0.684761503114601,0.5722409873621712,-0.5624916306451712,0.8798304443118995,0.48649133434960007,0.34082297515503446,-0.6090126790639359,1.0,0.760214355940303
FC_LocalSimple_mean3_stderr,0.14825681081553482,0.27274700812530467,-0.9547104176227769,-0.523535486617961,-0.9520769806286166,-0.4348255832175506,0.2137827550193491,-0.8854548122388781,-0.7621690008282549,-0.5913382931674518,-0.9088354772546171,-0.19706404138409161,0.737506776140249,-0.5753564040759024,0.8556570861288683,-0.9562386861611526,0.6126284269542447,0.9072262536493335,0.03272078575213772,-0.702899065380679,0.760214355940303,1.0
